LCSC Part Number,Quoted Manufacturer,Quoted LCSC Part Number,Quoted Manufacturer Part Number,Quantity,Unit Price,Order Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
C100042,YAGEO,C100042,CC0603KRX7R9BB103,100,0.0021,0.21,13862658,100\100,yes,100%
C105580,YAGEO,C105580,RC0603FR-075K1L,100,0.0012,0.12,489120,100\100,yes,100%
C105881,YAGEO,C105881,RC0603FR-07330RL,100,0.0012,0.12,824061,100\100,yes,100%
C109317,YAGEO,C109317,RC0603JR-0710RL,100,0.0021,0.21,136227,100\100,yes,100%
C114605,YAGEO,C114605,RC0603FR-071K2L,100,0.0012,0.12,211200,100\100,yes,100%
C114612,YAGEO,C114612,RC0603FR-072K7L,100,0.0012,0.12,418511,100\100,yes,100%
C114662,YAGEO,C114662,RC0603FR-072K2L,100,0.0012,0.12,1024200,100\100,yes,100%
C122538,YAGEO,C122538,RT0603BRD07100KL,20,0.0233,0.47,192456,20\20,yes,100%
C14663,YAGEO,C14663,CC0603KRX7R9BB104,100,0.0025,0.25,36698468,100\100,yes,100%
C14664,YAGEO,C14664,CC0603KRX5R8BB105,100,0.0055,0.55,930683,100\100,yes,100%
C152529,onsemi,C152529,NCP1117DT33T5G,1,0.5616,0.56,1299,1\1,yes,100%
C17117,Texas Instruments,C17117,LM2577SX-ADJ/NOPB,1,5.3169,5.32,628,1\1,yes,100%
C185346,YAGEO,C185346,RC0603FR-0727R4L,100,0.0014,0.14,400,100\100,yes,100%
C188726,AVAGO(Broadcom),C188726,HSMF-C165,1,0.4614,0.46,2873,1\1,yes,100%
C188729,AVAGO(Broadcom),C188729,HSMG-C190,5,0.2012,1.01,355,5\5,yes,100%
C2040,Raspberry Pi,C2040,RP2040,1,1.0485,1.05,12988,1\1,yes,100%
C21516,Murata Electronics,C21516,BLM15HD102SN1D,1,0.0083,0.01,230022,1\50,yes,100%
C221660,C&K,C221660,JS102011SAQN,1,0.5553,0.56,459,1\1,yes,100%
C22548,YAGEO,C22548,RC0603FR-071KL,100,0.0011,0.11,6445778,100\100,yes,100%
C231324,Omron Electronics,C231324,B3FS-1010P,5,0.2612,1.31,1365,5\5,yes,100%
C24112,TDK InvenSense,C24112,MPU-6050,1,7.9244,7.92,8418,1\1,yes,100%
C309478,YAGEO,C309478,CC0603KRX5R8BB225,50,0.0185,0.93,67303,50\50,yes,100%
C309517,YAGEO,C309517,CS0603KRX7R9BB222,50,0.0114,0.57,27150,50\50,yes,100%
C326057,YAGEO,C326057,CC0603KRX5R6BB106,20,0.0279,0.56,189360,20\20,yes,100%
C326580,YAGEO,C326580,CC0603KRX5R8BB475,10,0.0467,0.47,6610,10\10,yes,100%
C107045,YAGEO,C107045,CC0603JRNPO9BN270,100,0.003,0.30,197462,100\100,yes,100%
C97521,Winbond Elec,C97521,W25Q128JVSIQ,1,0.7096,0.71,2624,1\1,yes,100%
C98072,Murata Electronics,C98072,LQW18AN27NJ00D,10,0.0428,0.43,7760,10\10,yes,100%
